#ID	gene_id
gp_0605	ENSG00000163531
gp_0606	ENSG00000163531
gp_0607	ENSG00000163531
gp_0608	ENSG00000163531
gp_0609	ENSG00000163531
gp_0610	ENSG00000163531
gp_0611	ENSG00000163531
gp_0612	ENSG00000163531
gp_0613	ENSG00000163531
gp_0614	ENSG00000163531
gp_0615	ENSG00000163531
gp_0616	ENSG00000163531
gp_0617	ENSG00000163531
gp_0618	ENSG00000163531
gp_0619	ENSG00000163531
gp_0620	ENSG00000163531
gp_0621	ENSG00000163531
gp_0622	ENSG00000163531
gp_0623	ENSG00000163531
gp_0624	ENSG00000163531
gp_0625	ENSG00000163531
gp_0626	ENSG00000163531
gp_0627	ENSG00000163531
gp_0628	ENSG00000163531
gp_0629	ENSG00000163531
gp_0630	ENSG00000163531
gp_0631	ENSG00000163531
gp_0632	ENSG00000163531
gp_0633	ENSG00000163531
gp_0634	ENSG00000163531
gp_0635	ENSG00000163531
gp_0636	ENSG00000163531
gp_0637	ENSG00000163531
gp_0638	ENSG00000163531
gp_0639	ENSG00000163531
gp_0640	ENSG00000163531
gp_0641	ENSG00000163531
gp_0642	ENSG00000163531
gp_0643	ENSG00000163531
gp_0644	ENSG00000163531
gp_0645	ENSG00000163531
gp_0646	ENSG00000163531
gp_0647	ENSG00000163531
gp_0648	ENSG00000163531
gp_0649	ENSG00000163531
gp_0650	ENSG00000163531
gp_0651	ENSG00000163531
gp_0652	ENSG00000163531
gp_0653	ENSG00000163531
gp_0654	ENSG00000163531
gp_0655	ENSG00000163531
gp_0656	ENSG00000163531
gp_0657	ENSG00000163531
gp_0658	ENSG00000163531
gp_0659	ENSG00000163531
gp_0660	ENSG00000163531
gp_0661	ENSG00000163531
gp_0662	ENSG00000163531
gp_0663	ENSG00000163531
gp_0664	ENSG00000163531
gp_0665	ENSG00000163531
gp_0666	ENSG00000163531
gp_0667	ENSG00000163531
gp_0668	ENSG00000163531
gp_0669	ENSG00000163531
gp_0670	ENSG00000163531
gp_0671	ENSG00000163531
gp_0672	ENSG00000163531
gp_0673	ENSG00000163531
gp_0674	ENSG00000163531
gp_0675	ENSG00000163531
gp_0676	ENSG00000163531
gp_0677	ENSG00000163531
gp_0678	ENSG00000163531
gp_0679	ENSG00000163531
gp_0680	ENSG00000163531
gp_0681	ENSG00000163531
gp_0682	ENSG00000163531
gp_0683	ENSG00000163531
gp_0684	ENSG00000163531
gp_0685	ENSG00000163531
gp_0686	ENSG00000163531
gp_0687	ENSG00000163531
gp_0688	ENSG00000163531
gp_0689	ENSG00000163531
gp_0690	ENSG00000163531
gp_0691	ENSG00000163531
gp_0692	ENSG00000163531
gp_0693	ENSG00000163531
gp_0694	ENSG00000163531
gp_0695	ENSG00000163531
gp_0696	ENSG00000163531
gp_0697	ENSG00000163531
gp_0698	ENSG00000163531
gp_0699	ENSG00000163531
gp_0700	ENSG00000163531
gp_0701	ENSG00000163531
gp_0702	ENSG00000163531
gp_0703	ENSG00000163531
gp_0704	ENSG00000163531
gp_0705	ENSG00000163531
gp_0706	ENSG00000163531
gp_0707	ENSG00000163531
gp_0708	ENSG00000163531
